Ticker,mean bid-ask,median bid-ask,mean trade,median trade,longest trade,mean tick change,median tick change,longest tick change,round numbers on trade,round numbers on trade vol
ABB SS Equity,22.99111111111109,21.30000000000001,,,,198.0,198.0,215.0,,
AKA NO Equity,0.0,0.0,151.33333333333334,8.0,441.0,62.5,62.5,125.0,,
AKSO NO Equity,0.0,0.0,128.0,128.0,230.0,232.5,232.5,439.0,,
ALFA SS Equity,49.541666666666664,20.19999999999999,266.0,266.0,266.0,227.5,227.5,455.0,,
AMEAS FH Equity,1.7377272727272735,0.8399999999999999,462.0,462.0,462.0,207.5,207.5,399.0,,
ASSAB SS Equity,61.0,50.5,,,,139.5,139.5,172.0,,
ATCOA SS Equity,44.31250000000002,39.10000000000002,328.0,328.0,328.0,328.0,328.0,328.0,,
ATCOB SS Equity,31.31176470588235,18.19999999999999,,,,,,,,
AZN SS Equity,60.54761904761905,35.5,,,,230.5,230.5,383.0,,
BBHBEAT Index,-4.0,-4.0,,,,,,,,
BOL SS Equity,31.32,26.5,429.0,429.0,429.0,199.5,199.5,342.0,,
BWLPG NO Equity,-27.46,0.0,,,,,,,,
CARLB DC Equity,67.05714285714286,54.0,148.0,148.0,176.0,228.5,228.5,447.0,,
CGCBV FH Equity,3.523529411764706,1.629999999999999,,,,,,,,
CHR DC Equity,60.150000000000006,39.900000000000006,402.0,402.0,402.0,366.0,366.0,366.0,,
COLOB DC Equity,100.0,81.25,,,,224.0,224.0,448.0,,
DANSKE DC Equity,32.989090909090926,30.400000000000006,,,,99.0,99.0,198.0,,
DETNOR NO Equity,0.0,0.0,148.66666666666666,5.0,441.0,232.5,232.5,446.0,,
DNB NO Equity,0.0,0.0,,,,232.5,232.5,462.0,,
DNO NO Equity,-9.71153846153846,-12.62,461.0,461.0,461.0,461.0,461.0,461.0,,
DSV DC Equity,31.546666666666646,26.30000000000001,,,,129.5,129.5,227.0,,
ELI1V FH Equity,2.1480487804878052,1.1999999999999993,,,,229.5,229.5,425.0,,
ELUXB SS Equity,27.227272727272748,18.200000000000017,,,,465.0,465.0,465.0,,
ERICB SS Equity,14.339080459770114,13.5,,,,115.5,115.5,176.0,,
FLS DC Equity,48.76666666666665,32.39999999999998,,,,230.5,230.5,461.0,,
FOE NO Equity,0.0,0.0,,,,8.5,8.5,17.0,,
FUM1V FH Equity,0.9080219780219769,0.3299999999999983,8.961538461538462,0.0,466.0,25.88888888888889,0.0,168.0,,
GEN DC Equity,86.66,72.5,,,,228.5,228.5,436.0,,
GETIB SS Equity,32.970588235294116,22.69999999999999,,,,225.0,225.0,449.0,,
GJF NO Equity,19.123404255319148,0.0,57.875,49.0,157.0,231.5,231.5,458.0,,
GN DC Equity,23.27391304347827,19.30000000000001,,,,230.0,230.0,460.0,,
HMB SS Equity,45.78888888888888,36.39999999999998,462.0,462.0,462.0,232.5,232.5,406.0,,
HUH1V FH Equity,3.1146666666666656,1.4699999999999989,462.0,462.0,462.0,214.0,214.0,428.0,,
INVEB SS Equity,51.03333333333333,41.0,,,,126.0,126.0,252.0,,
ISS DC Equity,33.826315789473675,25.400000000000006,,,,238.0,238.0,238.0,,
JYSK DC Equity,73.18333333333332,34.69999999999999,,,,0.0,0.0,0.0,,
KCR1V FH Equity,2.9816666666666656,0.3999999999999986,,,,205.5,205.5,230.0,,
KESBV FH Equity,4.792307692307697,1.9000000000000057,,,,214.0,214.0,274.0,,
KINVB SS Equity,40.91874999999999,34.60000000000002,,,,144.5,144.5,252.0,,
KNEBV FH Equity,5.972777777777777,4.410000000000004,350.0,350.0,350.0,,,,,
KRA1V FH Equity,1.775,0.5,,,,223.5,223.5,428.0,,
LUPE SS Equity,13.314285714285715,9.900000000000006,77.16666666666667,51.0,251.0,112.5,112.5,118.0,,
MAERSKA DC Equity,2141.818181818182,1300.0,,,,96.5,96.5,193.0,,
MAERSKB DC Equity,2044.3478260869565,1620.0,105.0,105.0,204.0,80.5,80.5,161.0,,
MEO1V FH Equity,2.0492857142857144,1.2100000000000009,463.0,463.0,463.0,,,,,
MHG NO Equity,0.0,0.0,57.625,43.5,149.0,230.0,230.0,261.0,,
MTGB SS Equity,21.580952380952372,7.699999999999989,,,,224.0,224.0,448.0,,
NAS NO Equity,283.11999999999983,296.4,,,,231.5,231.5,459.0,,
NDA DC Equity,17.333333333333332,13.299999999999997,,,,231.5,231.5,463.0,,
NDA SS Equity,10.31008403361344,9.599999999999994,,,,215.0,215.0,261.0,,
NDA1V FH Equity,0.8215517241379316,0.6999999999999993,,,,142.0,142.0,271.0,,
NES1V FH Equity,2.794814814814816,1.8099999999999987,,,,258.0,258.0,258.0,,
NHY NO Equity,0.0,0.0,461.0,461.0,461.0,,,,,
NOK1V FH Equity,1.7259375000000043,1.705,17.0,17.0,17.0,132.5,132.5,167.0,,
NOKISEK SS Equity,3.196830265848675,4.0,1.5827586206896551,0.0,88.0,,,,,
NOVOB DC Equity,91.92592592592592,89.5,,,,232.0,232.0,257.0,,
NRE1V FH Equity,2.193200000000002,1.2300000000000004,463.0,463.0,463.0,,,,,
NZYMB DC Equity,38.65000000000002,29.69999999999999,,,,113.5,113.5,207.0,,
OPERA NO Equity,7.348275862068968,5.299999999999997,,,,230.0,230.0,453.0,,
ORK NO Equity,0.0,0.0,115.5,92.5,256.0,86.0,86.0,106.0,,
ORNBV FH Equity,4.960000000000001,2.8000000000000007,,,,200.0,200.0,400.0,,
OTE1V FH Equity,0.6055555555555555,0.3199999999999994,,,,,,,,
OUT1V FH Equity,1.4888888888888892,1.2999999999999998,,,,201.5,201.5,403.0,,
PGS NO Equity,43.90243902439025,46.0,232.0,232.0,454.0,232.0,232.0,455.0,,
PNDORA DC Equity,80.02127659574468,66.5,,,,178.0,178.0,284.0,,
RCL NO Equity,75.55555555555556,10.0,464.0,464.0,464.0,232.0,232.0,464.0,,
REC NO Equity,2.1796774193548374,2.33,339.0,339.0,339.0,376.0,376.0,376.0,,
SAMAS FH Equity,8.353599999999998,7.219999999999999,,,,462.0,462.0,462.0,,
SAND SS Equity,27.235294117647054,25.200000000000003,,,,231.0,231.0,418.0,,
SCAB SS Equity,22.385185185185193,19.400000000000006,,,,231.0,231.0,443.0,,
SCH NO Equity,-29.67878787878788,0.0,66.0,16.0,258.0,,,,,
SDRL NO Equity,0.0,0.0,25.77777777777778,3.5,256.0,231.0,231.0,256.0,,
SEBA SS Equity,16.158823529411762,12.0,,,,0.0,0.0,0.0,,
SECUB SS Equity,13.84827586206897,10.400000000000006,,,,240.0,240.0,240.0,,
